#
## Proficy Historian SDK Data Export 
## Generated: 03/06/2023 09:24:27 AM
## Start Time: 03/02/2023 02:00:00 PM
## End Time: 03/03/2023 10:00:00 AM
## Interval: 60000 milliseconds
## Records Returned: 1200
#
Timestamp, SPLYO.CONDENSER_TEMPERATURE.F_CV, SPLYO.SHELF_OUTLET.F_CV, SPLYO.SHELF_INLET.F_CV, SPLYO.SHELF_SP.F_CV, SPLYO.TC_AVG.F_CV, SPLYO.VACUUM_SP.F_CV, SPLYO.CHAMBER_CM.F_CV, SPLYO.ROUGH_VACUUM.F_CV, SPLYO.CHAMBER_PIRANI.F_CV, SPLYO.CONDENSER_VACUUM.F_CV, SPLYO.CHAMBER_PRESSURE.F_CV
03/02/2023 15:27:00, -84.3, -25, -25.6, -25.6, 0, 0, 2100, 451, 1047, 2100, -6.7
03/02/2023 15:28:00, -84.3, -25.5, -26, -26.1, 0, 0, 2100, 450, 1047, 2100, -6.8
03/02/2023 15:29:00, -84.3, -25.9, -26.6, -26.6, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:30:00, -84.3, -26.4, -27.1, -27.1, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:31:00, -84.3, -26.9, -27.6, -27.6, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:32:00, -84.2, -27.4, -28.1, -28.1, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:33:00, -84.2, -27.9, -28.5, -28.6, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:34:00, -84.1, -28.4, -29.1, -29.1, 0, 0, 2100, 449, 1047, 2100, -6.8
03/02/2023 15:35:00, -84.1, -28.9, -29.5, -29.6, 0, 0, 2100, 448, 1047, 2100, -6.8
03/02/2023 15:36:00, -84, -29.4, -30.1, -30.1, 0, 0, 2100, 447, 1047, 2100, -6.8
03/02/2023 15:37:00, -83.9, -29.9, -30.6, -30.6, 0, 0, 2100, 446, 1047, 2100, -6.8
03/02/2023 15:38:00, -83.9, -30.4, -31, -31.1, 0, 0, 2100, 445, 1047, 2100, -6.8
03/02/2023 15:39:00, -83.9, -30.9, -31.6, -31.6, 0, 0, 2100, 445, 1047, 2100, -6.9
03/02/2023 15:40:00, -83.9, -31.3, -32.1, -32.1, 0, 0, 2100, 444, 1047, 2100, -6.9
03/02/2023 15:41:00, -83.8, -31.8, -32.6, -32.6, 0, 0, 2100, 444, 1047, 2100, -6.9
03/02/2023 15:42:00, -83.9, -32.3, -33, -33.1, 0, 0, 2100, 443, 1047, 2100, -6.9
03/02/2023 15:43:00, -83.8, -32.8, -33.5, -33.6, 0, 0, 2100, 443, 1047, 2100, -6.9
03/02/2023 15:44:00, -83.7, -33.2, -34.1, -34.1, 0, 0, 2100, 442, 1047, 2100, -6.9
03/02/2023 15:45:00, -83.8, -33.8, -34.5, -34.6, 0, 0, 2100, 442, 1047, 2100, -6.9
03/02/2023 15:46:00, -83.6, -34.2, -35.1, -35.1, 0, 0, 2100, 441, 1047, 2100, -6.9
03/02/2023 15:47:00, -83.6, -34.7, -35.6, -35.6, 0, 0, 2100, 440, 1047, 2100, -6.9
03/02/2023 15:48:00, -83.6, -35.2, -36, -36.1, 0, 0, 2100, 440, 1047, 2100, -6.9
03/02/2023 15:49:00, -83.6, -35.7, -36.5, -36.6, 0, 0, 2100, 440, 1047, 2100, -6.9
03/02/2023 15:50:00, -83.5, -36.2, -37.1, -37.1, 0, 0, 2100, 439, 1047, 2100, -7.0
03/02/2023 15:51:00, -83.5, -36.7, -37.6, -37.6, 0, 0, 2100, 438, 1047, 2100, -7.0
03/02/2023 15:52:00, -83.4, -37.2, -38.1, -38.1, 0, 0, 2100, 438, 1047, 2100, -7.0
03/02/2023 15:53:00, -83.3, -37.7, -38.6, -38.6, 0, 0, 2100, 437, 1047, 2100, -7.0
03/02/2023 15:54:00, -83.3, -38.2, -39.1, -39.1, 0, 0, 2100, 436, 1047, 2100, -7.0
03/02/2023 15:55:00, -83.2, -38.7, -39.6, -39.6, 0, 0, 2100, 435, 1047, 2100, -7
